Age_Group,Total_Pop,Total_Males,Total_Females
All ages,3085411,1684608,1400803
00-04,189193,98595,90598
05-09,208264,108793,99471
10-14,230713,122365,108348
15-19,265548,150557,114991
20-24,334119,198073,136046
25-29,325168,186723,138445
30-34,272932,153652,119280
35-39,250947,138227,112720
40-44,217175,118164,99011
45-49,192532,102940,89592
50-54,158581,86026,72555
55-59,125961,67561,58400
60-64,103157,52219,50938
65-69,70896,34703,36193
70-74,52043,24438,27605
75-79,33506,15277,18229
80+,39099,17246,21853
Age not stated,15577,9049,6528
