Age_Group,Total,Total_Males,Total_Females
All ages,3124458,1603675,1520783
00-04,239964,125558,114406
05-09,235616,124045,111571
10-14,242254,126910,115344
15-19,255256,134184,121072
20-24,323148,163555,159593
25-29,338321,169986,168335
30-34,289767,150159,139608
35-39,250558,128850,121708
40-44,207887,107419,100468
45-49,172972,87511,85461
50-54,144551,74115,70436
55-59,118278,59696,58582
60-64,103604,51731,51873
65-69,69702,35038,34664
70-74,49590,24560,25030
75-79,29557,14418,15139
80+,32766,15042,17724
Age not stated,20667,10898,9769
