Ward,Households,Total_Pop,Tot_Male,Tot_Female,Tot_Literate,Male_Literate,Female_Literate,Tot_Illiterate,Male_Illiterate,Female_Illiterate,Tot_0-6,Male_0-6,Female_0-6,Ward_office,Ward_name
 Ward No.1 ,10452,44060,23099,20961,34931,18862,16069,9129,4237,4892,5686,2993,2693,Sangamwadi ,Dhanori
 Ward No.2,5933,25430,13125,12305,19673,10456,9217,5757,2669,3088,3054,1591,1463,Sangamwadi ,Vidhyanagar Lohagaon
 Ward No.3,5487,22592,11528,11064,17822,9347,8475,4770,2181,2589,2487,1347,1140,Sangamwadi ,Tingre Pumping Station 
 Ward No.4,5906,24678,12830,11848,20472,10849,9623,4206,1981,2225,2586,1367,1219,Sangamwadi ,Kalas Vishrantwadi
 Ward No.5,4242,18490,9378,9112,14333,7512,6821,4157,1866,2291,1972,1023,949,Sangamwadi ,Nanasaheb Parulekar Vidhyalaya
 Ward No.6,5241,26134,15086,11048,20464,12316,8148,5670,2770,2900,2315,1217,1098,Sangamwadi ,Yerwada Prizen Press
 Ward No.7,8764,33810,17610,16200,26926,14337,12589,6884,3273,3611,3694,1865,1829,Yerwada/Nagarroad,Lohagaon Vimantal
 Ward No.8,9598,37947,20290,17657,29477,16249,13228,8470,4041,4429,4993,2645,2348,Yerwada/Nagarroad,Kharadigaon
 Ward No.9,5953,24332,13030,11302,18557,10238,8319,5775,2792,2983,3299,1788,1511,Yerwada/Nagarroad,Kharadi Infotech Park
 Ward No.10,5850,24433,12814,11619,19695,10563,9132,4738,2251,2487,2695,1433,1262,Yerwada/Nagarroad,Sundrabai Marathe Vidhyalaya
 Ward No.11,7831,32731,17179,15552,25917,13948,11969,6814,3231,3583,4217,2216,2001,Yerwada/Nagarroad,Vadgaon Sheri
 Ward No.12,6250,25865,13587,12278,21213,11296,9917,4652,2291,2361,2666,1409,1257,Yerwada/Nagarroad,Ramwadi
 Ward No.13,6493,25272,13101,12171,21213,11044,10169,4059,2057,2002,2491,1320,1171,Yerwada/Nagarroad,Agakhan Pallace
 Ward No.14,4361,18483,9390,9093,15304,7991,7313,3179,1399,1780,1803,947,856,Yerwada/Nagarroad,Don Bosco  Highschool
 Ward No.15,3944,16691,8449,8242,14180,7366,6814,2511,1083,1428,1639,872,767,Yerwada/Nagarroad,NagpurChawl
 Ward No.16,3382,15724,8044,7680,12408,6534,5874,3316,1510,1806,1586,834,752,Sangamwadi ,"PhuleNagar ,Yerwada"
 Ward No.17,3330,15990,7986,8004,12573,6507,6066,3417,1479,1938,1709,883,826,Sangamwadi ,Netaji Subhashchandra Bose Vidhyalaya
 Ward No.18,3183,14960,7506,7454,11144,5849,5295,3816,1657,2159,1709,910,799,Sangamwadi ,Yerwadagaon
 Ward No.19,3607,17702,8969,8733,12933,6908,6025,4769,2061,2708,2251,1155,1096,Sangamwadi ,Parnkuti
 Ward No.20,3780,18332,9333,8999,13195,7162,6033,5137,2171,2966,2411,1212,1199,Sangamwadi ,YerwadaHotmix Plant
 Ward No.21,3878,17865,9299,8566,13723,7549,6174,4142,1750,2392,2074,1079,995,Sangamwadi ,Deccon Collage
 Ward No.22,3837,18071,9129,8942,13348,7132,6216,4723,1997,2726,1999,1026,973,Gholeroad,Kamal Nayan Bajaj Udhyan
 Ward No.23,3631,15744,7666,8078,12976,6490,6486,2768,1176,1592,1296,693,603,Gholeroad,Setki Mahavidhyalaya
 Ward No.24,4283,17876,8926,8950,14917,7572,7345,2959,1354,1605,1720,892,828,Aundh,Sanjay Gandhi Rugnalya
 Ward No.25,3563,15834,7905,7929,12705,6639,6066,3129,1266,1863,1637,831,806,Aundh,Bopodi
