Age_Group,Total_Pop,Total_Males,Total_Females,Main_Workers_Total,Main_Workers_Males,Main_Workers_Females,Marginal_3m_Total,Marginal_3m_Males,Marginal_3m_Females,Marginal_6m_Total,Marginal_6m_Males,Marginal_6m_Females
Total,3124458,1603675,1520783,1129388,840185,289203,10150,5760,4390,63615,34909,28706
05-09,235616,124045,111571,2561,1408,1153,134,72,62,2287,1212,1075
10-14,242254,126910,115344,5566,3521,2045,189,115,74,2891,1559,1332
15-19,255256,134184,121072,29039,21885,7154,992,742,250,5630,3477,2153
20-24,323148,163555,159593,113983,84213,29770,2007,1258,749,10257,6198,4059
25-29,338321,169986,168335,193850,141432,52418,1665,862,803,9618,5346,4272
30-34,289767,150159,139608,183334,136405,46929,1143,582,561,7275,3701,3574
35-39,250558,128850,121708,161702,118636,43066,983,469,514,6027,3076,2951
40-49,380859,194930,185929,238682,177820,60862,1331,668,663,8821,4499,4322
50-59,262829,133811,129018,138968,107894,31074,848,463,385,5311,2853,2458
60-69,173306,86769,86537,40207,30914,9293,519,310,209,3174,1725,1449
70-79,79147,38978,40169,9916,7592,2324,209,137,72,1156,629,527
80+,32766,15042,17724,4039,2992,1047,62,40,22,492,262,230
Age not stated,20667,10898,9769,7541,5473,2068,68,42,26,676,372,304
